Date, MSFT Price,APPL Price,MSFT Log Price,AAPL Log Price,MSFT Log Return,AAPL Log Return
8-Dec-11,25.4,55.81,3.234749174,4.021953065,-0.007843177,0.00412964
9-Dec-11,25.7,56.23,3.246490992,4.029450422,0.011741818,0.007497358
12-Dec-11,25.51,55.98,3.239070532,4.024994484,-0.00742046,-0.004455938
13-Dec-11,25.76,55.54,3.248822901,4.017103482,0.009752369,-0.007891002
14-Dec-11,25.59,54.31,3.24220165,3.994708372,-0.006621251,-0.02239511
15-Dec-11,25.56,54.13,3.24102863,3.991388561,-0.001173021,-0.003319811
16-Dec-11,26,54.43,3.258096538,3.996915472,0.017067909,0.005526912
19-Dec-11,25.53,54.6,3.239854231,4.000033883,-0.018242307,0.00311841
20-Dec-11,26.02,56.56,3.258865473,4.035302022,0.019011242,0.035268139
21-Dec-11,25.76,56.64,3.248822901,4.036715449,-0.010042572,0.001413428
22-Dec-11,25.81,56.94,3.250762014,4.041998082,0.001939112,0.005282632
23-Dec-11,26.03,57.62,3.259249719,4.05386973,0.008487705,0.011871648
27-Dec-11,26.04,58.08,3.259633817,4.061821371,0.000384098,0.007951641
28-Dec-11,25.82,57.52,3.251149385,4.052132713,-0.008484432,-0.009688657
29-Dec-11,26.02,57.87,3.258865473,4.058199116,0.007716088,0.006066402
30-Dec-11,25.96,57.86,3.256556892,4.0580263,-0.002308581,-0.000172816
3-Jan-12,26.76,58.75,3.286908235,4.073291153,0.030351343,0.015264853
4-Jan-12,27.4,59.06,3.310543013,4.078553876,0.023634778,0.005262723
5-Jan-12,27.68,59.72,3.320710131,4.089666973,0.010167117,0.011113096
6-Jan-12,28.1,60.34,3.335769576,4.099995234,0.015059446,0.010328261
9-Jan-12,27.74,60.25,3.322875415,4.098502572,-0.012894161,-0.001492661
10-Jan-12,27.84,60.46,3.326473835,4.101981989,0.003598421,0.003479417
11-Jan-12,27.72,60.36,3.322154174,4.100326634,-0.004319661,-0.001655355
12-Jan-12,28,60.2,3.33220451,4.097672352,0.010050336,-0.002654282
13-Jan-12,28.25,59.97,3.341093458,4.093844437,0.008888947,-0.003827915
17-Jan-12,28.26,60.67,3.341447377,4.105449342,0.00035392,0.011604905
18-Jan-12,28.23,61.3,3.340385242,4.115779843,-0.001062135,0.010330501
19-Jan-12,28.12,61.11,3.336481067,4.112675519,-0.003904175,-0.003104324
20-Jan-12,29.71,60.04,3.391483689,4.095011007,0.055002623,-0.017664512
23-Jan-12,29.73,61.06,3.392156637,4.111856987,0.000672948,0.016845981
24-Jan-12,29.34,60.06,3.378951773,4.095344063,-0.013204864,-0.016512925
25-Jan-12,29.56,63.81,3.386422096,4.155909918,0.007470323,0.060565855
26-Jan-12,29.5,63.52,3.384390263,4.151354817,-0.002031833,-0.004555101
27-Jan-12,29.23,63.9,3.375195579,4.157319361,-0.009194684,0.005964544
30-Jan-12,29.61,64.72,3.388112142,4.170070273,0.012916563,0.012750911
31-Jan-12,29.53,65.21,3.385406696,4.177612831,-0.002705446,0.007542559
1-Feb-12,29.89,65.17,3.397523976,4.17699924,0.012117281,-0.000613591
2-Feb-12,29.95,65.02,3.399529325,4.174694915,0.002005348,-0.002304325
3-Feb-12,30.24,65.67,3.409165551,4.1846422,0.009636227,0.009947285
6-Feb-12,30.2,66.28,3.407841924,4.193888193,-0.001323627,0.009245992
7-Feb-12,30.35,66.98,3.412796518,4.204394067,0.004954593,0.010505875
8-Feb-12,30.66,68.1,3.422958873,4.220977213,0.010162356,0.016583146
9-Feb-12,30.77,70.45,3.426540189,4.254903238,0.003581316,0.033926025
10-Feb-12,30.5,70.49,3.417726684,4.255470856,-0.008813506,0.000567617
13-Feb-12,30.58,71.8,3.420346201,4.273884476,0.002619517,0.01841362
14-Feb-12,30.25,72.78,3.409496184,4.287441192,-0.010850016,0.013556716
15-Feb-12,30.05,71.1,3.402862661,4.264087337,-0.006633523,-0.023353855
16-Feb-12,31.28,71.74,3.442978916,4.273048472,0.040116255,0.008961135
17-Feb-12,31.25,71.73,3.442019376,4.27290907,-0.000959539,-0.000139402
21-Feb-12,31.44,73.55,3.448080968,4.297965447,0.006061591,0.025056377
22-Feb-12,31.27,73.29,3.442659171,4.294424174,-0.005421796,-0.003541273
23-Feb-12,31.37,73.77,3.445852022,4.300952145,0.003192851,0.006527971
24-Feb-12,31.48,74.63,3.449352424,4.312542571,0.003500401,0.011590426
27-Feb-12,31.35,75.11,3.445214267,4.318953706,-0.004138156,0.006411135
28-Feb-12,31.87,76.49,3.461665128,4.337160013,0.016450861,0.018206308
29-Feb-12,31.74,77.49,3.457577715,4.350148896,-0.004087413,0.012988882
1-Mar-12,32.29,77.78,3.474757585,4.353884329,0.01717987,0.003735433
2-Mar-12,32.08,77.88,3.468232783,4.355169181,-0.006524802,0.001284852
5-Mar-12,31.8,76.17,3.45946629,4.332967684,-0.008766493,-0.022201496
6-Mar-12,31.56,75.75,3.451890496,4.327438444,-0.007575794,-0.00552924
7-Mar-12,31.84,75.81,3.460723361,4.32823021,0.008832865,0.000791766
8-Mar-12,32.01,77.43,3.466048354,4.349374302,0.005324993,0.021144092
9-Mar-12,31.99,77.88,3.465423354,4.355169181,-0.000625,0.005794878
12-Mar-12,32.04,78.86,3.466985122,4.367674128,0.001561768,0.012504948
13-Mar-12,32.67,81.16,3.486457226,4.396422515,0.019472103,0.028748387
14-Mar-12,32.77,84.23,3.489513463,4.433551152,0.003056237,0.037128637
15-Mar-12,32.85,83.65,3.491951745,4.426641427,0.002438282,-0.006909725
16-Mar-12,32.6,83.65,3.484312288,4.426641427,-0.007639457,0
19-Mar-12,32.2,85.87,3.471966453,4.452834525,-0.012345836,0.026193097
20-Mar-12,31.99,86.57,3.465423354,4.460953335,-0.006543099,0.008118811
21-Mar-12,31.91,86.07,3.46291944,4.455160919,-0.002503914,-0.005792417
22-Mar-12,32,85.62,3.465735903,4.449918901,0.002816463,-0.005242018
23-Mar-12,32.01,85.15,3.466048354,4.444414407,0.000312451,-0.005504494
26-Mar-12,32.59,86.71,3.484005493,4.462569217,0.017957139,0.01815481
27-Mar-12,32.52,87.78,3.481855285,4.474833684,-0.002150208,0.012264467
28-Mar-12,32.19,88.23,3.471655845,4.479947041,-0.010199439,0.005113357
29-Mar-12,32.12,87.12,3.469478889,4.467286479,-0.002176956,-0.012660563
30-Mar-12,32.26,85.65,3.473828073,4.450269225,0.004349184,-0.017017254
2-Apr-12,32.29,88.38,3.474757585,4.4816457,0.000929512,0.031376475
3-Apr-12,31.94,89.9,3.463859143,4.498697941,-0.010898442,0.017052242
4-Apr-12,31.21,89.19,3.440738556,4.490768926,-0.023120587,-0.007929016
5-Apr-12,31.52,90.53,3.450622265,4.505681287,0.009883709,0.014912362
9-Apr-12,31.1,90.89,3.437207819,4.509649984,-0.013414446,0.003968697
10-Apr-12,30.47,89.78,3.416742593,4.497362233,-0.020465226,-0.012287751
11-Apr-12,30.34,89.46,3.412466974,4.493791598,-0.004275619,-0.003570635
12-Apr-12,30.98,88.97,3.433341835,4.488299234,0.020874861,-0.005492364
13-Apr-12,30.81,86.46,3.427839313,4.459681879,-0.005502522,-0.028617355
16-Apr-12,31.08,82.88,3.436564525,4.417393779,0.008725213,-0.042288101
17-Apr-12,31.44,87.1,3.448080968,4.467056884,0.011516442,0.049663105
18-Apr-12,31.14,86.91,3.438493166,4.4648731,-0.009587801,-0.002183783
19-Apr-12,31.01,83.92,3.434309733,4.429863964,-0.004183433,-0.035009136
20-Apr-12,32.42,81.85,3.478775516,4.404888304,0.044465783,-0.02497566
23-Apr-12,32.12,81.67,3.469478889,4.402686737,-0.009296627,-0.002201566
24-Apr-12,31.92,80.04,3.463232773,4.38252651,-0.006246116,-0.020160228
25-Apr-12,32.2,87.14,3.471966453,4.467516021,0.00873368,0.084989511
26-Apr-12,32.11,86.81,3.469167508,4.463721822,-0.002798944,-0.003794198
27-Apr-12,31.98,86.14,3.465110707,4.45597388,-0.004056801,-0.007747943
30-Apr-12,32.02,83.43,3.466360708,4.424007957,0.00125,-0.031965923
1-May-12,32.01,83.16,3.466048354,4.420766463,-0.000312354,-0.003241494
2-May-12,31.8,83.71,3.45946629,4.427358445,-0.006582064,0.006591982
3-May-12,31.76,83.12,3.458207636,4.420285347,-0.001258653,-0.007073098
4-May-12,30.98,80.75,3.433341835,4.391357962,-0.024865801,-0.028927385
7-May-12,30.65,81.35,3.422632662,4.398760834,-0.010709173,0.007402872
8-May-12,30.5,81.17,3.417726684,4.396545721,-0.004905979,-0.002215113
9-May-12,30.76,81.31,3.426215145,4.39826901,0.008488461,0.001723289
10-May-12,30.74,81.5,3.425564738,4.40060302,-0.000650407,0.00233401
11-May-12,31.16,80.96,3.439135221,4.393955206,0.013570483,-0.006647815
14-May-12,30.68,79.75,3.423610976,4.378896742,-0.015524245,-0.015058464
15-May-12,30.21,79.02,3.408172995,4.369700985,-0.015437981,-0.009195757
16-May-12,29.9,78.01,3.39785848,4.356837024,-0.010314515,-0.012863961
17-May-12,29.72,75.73,3.39182022,4.327174383,-0.006038261,-0.02966264
18-May-12,29.27,75.77,3.376563101,4.327702436,-0.015257119,0.000528053
21-May-12,29.75,80.18,3.392829132,4.384274107,0.016266031,0.056571671
22-May-12,29.76,79.57,3.39316521,4.376637137,0.000336078,-0.00763697
23-May-12,29.11,81.51,3.371081758,4.400725712,-0.022083452,0.024088575
